,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
empty_ng_plus_desc,"Once again......",,,,,,,,"再一次......",,,,,,,,,,,,,,,
empty_teleport_pyramid,"Portal to top of Pyramid",,,,,,,,"去往 金字塔顶 的传送门",,,,,,,,,,,,,,,
actiondesc_empty_departure,"Casts every spell which is not [ DEPARTURE ] or [ RESET ] by order in graveyard with no draw\nignore their impact on mana, fire rate wait and reload time\nafter that, draw 1 \n echoes and visages fade into distance\n FUTURE remains unknowable",,,,,,,,"依次禁抽地释放墓地中的每个不为 [ 离去 ] 或 [ 魔杖刷新 ] 的法术\n无视它们对法力、施法延迟、充能时间的影响\n那之后, 抽 1 \n 声闻形貌终已远\n 前路未可知",,,,,,,,,,,,,,,,
action_empty_return,"RETURN",,,,,,,,"归来",,,,,,,,,,,,,,,,
actiondesc_empty_return,"Send entire hand to graveyard, draw number of spells sent to graveyard\nafter that, cast every spell which is not [ RETURN ] or [ RESET ] by order in hand with no draw\nignore their impact on mana, fire rate wait and reload time\n having traversed whole mortal world, traveler finally returns\n HOME shall be reached",,,,,,,,"将整个手卡送去墓地, 抽送去墓地数量的法术\n那之后, 依次禁抽地释放手卡中的每个不为 [ 归来 ] 或 [ 魔杖刷新 ] 的法术\n无视它们对法力、施法延迟、充能时间的影响\n 遍历尘世终已返\n 归途必可期",,,,,,,,,,,,,,,,
action_empty_triphase_reincarnation,"Triphase reincarntion",,,,,,,,"三相轮回",,,,,,,,,,,,,,,,
actiondesc_empty_triphase_reincarnation,"Sends entire hand to graveyard, return number of spells send to graveyard from front of graveyard to behind of deck\nafter that, draw number of spells return to deck\nwhen this spell cast twice or more in same casting: this wand be forced enter reload phase instead",,,,,,,,"将整个手卡送去墓地, 送去墓地数量的法术从墓地最前回到卡组最后\n那之后, 抽回到卡组的法术数量\n在同 1 次施法中释放 2 次以上时: 改为强制进入充能冷却",,,,,,,,,,,,,,,,
action_empty_alpha+,ALPHA+,,,,,,,,阿尔法+,,,,,,,,,,,,,,,,
actiondesc_empty_alpha+,"Casts first spell which is not [ ALPHA+ ] , [ ALPHA- ] or [ RESET ] in original order of wand",,,,,,,,释放法杖原本序列中第 1 个不为 [ 阿尔法+ ] 、 [ 阿尔法- ] 或 [ 魔杖刷新 ] 的法术,,,,,,,,,,,,,,,,
action_empty_gamma+,GAMMA+,,,,,,,,伽马+,,,,,,,,,,,,,,,
actiondesc_empty_gamma+,"Casts last spell which is not [ GAMMA+ ] , [ GAMMA- ] or [ RESET ] in original order of wand",,,,,,,,释放法杖原本序列中最后 1 个不为 [ 伽马+ ] 、 [ 伽马- ] 或 [ 魔杖刷新 ] 的法术,,,,,,,,,,,,,,,,
action_empty_tau+,TAU+,,,,,,,,陶+,,,,,,,,,,,,,,,,
actiondesc_empty_tau+,Cast 2 spells in front of deck\nif deck contains only 1 spell: cast this spell 2 times,,,,,,,,依次释放卡组最前 2 个法术\n如果卡组只有 1 个法术: 改为释放这个法术 2 次,,,,,,,,,,,,,,,,
action_empty_omega+,OMEGA+,,,,,,,,终结+,,,,,,,,,,,,,,,,
actiondesc_empty_omega+,"Casts every spell which is not [ OMEGA+ ] , [ OMEGA- ] or [ RESET ] by original order of wand with no draw\nignore their impact on mana, fire rate wait and reload time",,,,,,,,按法杖原本序列依次禁抽地释放每个不为 [ 终结+ ] 、 [ 终结- ] 或 [ 魔杖刷新 ] 的法术\n无视它们对法力、施法延迟、充能时间的影响,,,,,,,,,,,,,,,,
action_empty_mu+,MU+,,,,,,,,缪+,,,,,,,,,,,,,,,,
actiondesc_empty_mu+,"Cast every modifier-type spell by original order of wand with no draw\nignore their impact on mana, fire rate wait and reload time",,,,,,,,"按法杖原本序列依次禁抽地释放每个修正法术\n无视它们对法力、施法延迟、充能时间的影响",,,,,,,,,,,,,,,,
action_empty_phi+,PHI+,,,,,,,,斐+,,,,,,,,,,,,,,,,
actiondesc_empty_phi+,"Casts every projectile-type spell by original order of wand with no draw\nignore their impact on mana, fire rate wait and reload time",,,,,,,,按法杖原本序列依次禁抽地释放每个投射物法术\n无视它们对法力、施法延迟、充能时间的影响,,,,,,,,,,,,,,,,
action_empty_sigma+,SIGMA+,,,,,,,,西格玛+,,,,,,,,,,,,,,,,
actiondesc_empty_sigma+,"Cast every static-projectile-type spell by original order of wand with no draw\nignore their impact on mana, fire rate wait and reload time",,,,,,,,按法杖原本序列依次禁抽地释放每个静态投射物法术\n无视它们对法力、施法延迟、充能时间的影响,,,,,,,,,,,,,,,,
action_empty_zeta+,ZETA+,,,,,,,,泽塔+,,,,,,,,,,,,,,,,
actiondesc_empty_zeta+,"Copies a random spell which is not [ ZETA+ ] , [ ZETA- ] or [ RESET ] in next wand you're holding with no draw\nif this wand is last: change [ in next wand ] to [ in first wand ]",,,,,,,,"禁抽地释放你下 1 个法杖中不为 [ 泽塔+ ] 、 [ 泽塔- ] 或 [ 魔杖刷新 ] 的随机 1 个法术\n如果释放此法术的法杖是最后 1 个: 将 [ 下 1 个法杖 ] 改为 [ 第 1 个法杖 ]",,,,,,,,,,,,,,,
action_empty_beta+,BETA+,,,,,,,,贝塔+,,,,,,,,,,,,,,,,
actiondesc_empty_beta+,"Casts every even-slot spells in hand and odd-slot spells in deck and graveyard which is not [ BETA+ ], [ BETA- ] or [ RESET ]\nignore their impact on mana, fire rate wait and reload time",,,,,,,,"释放不为 [ 贝塔+ ] 、 [ 贝塔- ] 或 [ 魔杖刷新 ] 的手卡每个偶数号位的法术与卡组、墓地奇数号位的法术\n无视它们对法力、施法延迟、充能时间的影响",,,,,,,,,,,,,,,,
action_empty_lambda+,LAMBDA+,,,,,,,,兰姆达+,,,,,,,,,,,,,,,,
actiondesc_empty_lambda+,Cast 2 spells in front of hand\nif hand contains only 1 spell: cast this spell 2 times,,,,,,,,依次释放手卡最前 2 个法术\n如果手卡只有 1 个法术: 改为释放这个法术 2 次,,,,,,,,,,,,,,,,
action_empty_chi+,CHI+,,,,,,,,凯+,,,,,,,,,,,,,,,,
actiondesc_empty_chi+,"Casts every utility-type spell which is not [ RESET ] by original order of wand with no draw\nignore their impact on mana, fire rate wait and reload time",,,,,,,,按法杖原本序列依次禁抽地释放每个不为 [ 魔杖刷新 ] 的实用法术\n无视它们对法力、施法延迟、充能时间的影响,,,,,,,,,,,,,,,,
action_empty_theta+,THETA+,,,,,,,,希塔+,,,,,,,,,,,,,,,,
actiondesc_empty_theta+,"Casts every material-type spell by original order of wand with no draw\nignore their impact on mana, fire rate wait and reload time",,,,,,,,按法杖原本序列依次禁抽地释放每个材料法术\n无视它们对法力、施法延迟、充能时间的影响,,,,,,,,,,,,,,,,
action_empty_omicron+,OMICRON+,,,,,,,,奥密克戎+,,,,,,,,,,,,,,,,
actiondesc_empty_omicron+,"Casts every other-type spell which is not [ OMICRON+ ] or [ OMICRON- ] by original order of wand with no draw\nignore their impact on mana, fire rate wait and reload time",,,,,,,,按法杖原本序列依次禁抽地释放每个不为 [ 奥密克戎+ ] 或 [ 奥密克戎- ] 的其他法术\n无视它们对法力、施法延迟、充能时间的影响,,,,,,,,,,,,,,,,
action_empty_alpha-,ALPHA-,,,,,,,,阿尔法-,,,,,,,,,,,,,,,,
actiondesc_empty_alpha-,"Casts first spell which is not [ ALPHA+ ] , [ ALPHA- ] or [ RESET ] in deck",,,,,,,,释放卡组第 1 个不为 [ 阿尔法+ ] 、 [ 阿尔法- ] 或 [ 魔杖刷新 ] 的法术,,,,,,,,,,,,,,,,
action_empty_gamma-,GAMMA-,,,,,,,,伽马-,,,,,,,,,,,,,,,
actiondesc_empty_gamma-,"Casts last spell which is not [ GAMMA+ ] , [ GAMMA- ] or [ RESET ] in graveyard",,,,,,,,释放墓地最后 1 个不为 [ 伽马+ ] 、 [ 伽马- ] 或 [ 魔杖刷新 ] 的法术,,,,,,,,,,,,,,,,
action_empty_tau-,TAU-,,,,,,,,陶-,,,,,,,,,,,,,,,,
actiondesc_empty_tau-,Cast 2 spells in behind of graveyard\nif graveyard contains only 1 spell: cast this spell 2 times,,,,,,,,依次释放墓地最后 2 个法术\n如果墓地只有 1 个法术: 改为释放这个法术 2 次,,,,,,,,,,,,,,,,
action_empty_omega-,OMEGA-,,,,,,,,终结-,,,,,,,,,,,,,,,,
actiondesc_empty_omega-,"Casts every non-recursive spell by original order of every wand in inventory with no draw\nignore their impact on mana, fire rate wait and reload time\nafter that, draw spells equal to number cast",,,,,,,,"按原本序列依次禁抽地释放持有的所有法杖内每个非递归法术\n无视它们对法力、施法延迟、充能时间的影响\n那之后, 抽出释放法术的数量",,,,,,,,,,,,,,,,
action_empty_mu-,MU-,,,,,,,,缪-,,,,,,,,,,,,,,,,
actiondesc_empty_mu-,"Cast every modifier-type spell by reverse order from graveyard, deck and then hand\nignore their impact on mana, fire rate wait and reload time\nwarning: drawing is forcibly enabled during casting",,,,,,,,"按墓地、卡组、手卡的顺序依次倒序地释放每个修正法术\n无视它们对法力、施法延迟、充能时间的影响\n警告: 释放过程中抽取强制开启",,,,,,,,,,,,,,,,
action_empty_zeta-,ZETA-,,,,,,,,泽塔-,,,,,,,,,,,,,,,,
actiondesc_empty_zeta-,"Copies a random spell which is not [ ZETA+ ] , [ ZETA- ] or [ RESET ] in this wand you're holding with no draw\nafter that, draw 1",,,,,,,,"禁抽地释放这个法杖中不为 [ 泽塔+ ] 、 [ 泽塔- ] 或 [ 魔杖刷新 ] 的随机 1 个法术\n那之后, 抽 1",,,,,,,,,,,,,,,
action_empty_beta-,BETA-,,,,,,,,贝塔-,,,,,,,,,,,,,,,,
actiondesc_empty_beta-,"Casts every odd-slot spells in hand and even-slot spells in deck and graveyard which is not [ BETA+ ], [ BETA- ] or [ RESET ]\nignore their impact on mana, fire rate wait and reload time",,,,,,,,"释放不为 [ 贝塔+ ] 、 [ 贝塔- ] 或 [ 魔杖刷新 ] 的手卡每个奇数号位的法术与卡组、墓地偶数号位的法术\n无视它们对法力、施法延迟、充能时间的影响",,,,,,,,,,,,,,,,
action_empty_lambda-,LAMBDA-,,,,,,,,兰姆达-,,,,,,,,,,,,,,,,
actiondesc_empty_lambda-,Cast 2 spells in behind of hand\nif hand contains only 1 spell: cast this spell 2 times,,,,,,,,依次释放手卡最后 2 个法术\n如果手卡只有 1 个法术: 改为释放这个法术 2 次,,,,,,,,,,,,,,,,
action_empty_chi-,CHI-,,,,,,,,凯-,,,,,,,,,,,,,,,,
actiondesc_empty_chi-,"Casts every utility-type spell which is not [ RESET ] by reverse order from graveyard, deck and then hand with no draw\nignore their impact on mana, fire rate wait and reload time\nafter that, shuffle order of spells in deck, hand and graveyard",,,,,,,,"按法杖原本序列依次禁抽地释放每个不为 [ 魔杖刷新 ] 的实用法术\n无视它们对法力、施法延迟、充能时间的影响\n那之后, 分别打乱卡组、手卡、墓地中法术的排列顺序",,,,,,,,,,,,,,,,
action_empty_theta-,THETA-,,,,,,,,希塔-,,,,,,,,,,,,,,,,
actiondesc_empty_theta-,"Casts every material-type spell by reverse order from graveyard, deck and then hand with no draw\nignore their impact on mana, fire rate wait and reload time\nafter that, draw spells equal to number cast",,,,,,,,"按墓地、卡组、手卡的顺序依次倒序禁抽地释放每个材料法术\n无视它们对法力、施法延迟、充能时间的影响\n那之后, 抽出释放法术的数量",,,,,,,,,,,,,,,,
action_empty_omicron-,OMICRON-,,,,,,,,奥密克戎-,,,,,,,,,,,,,,,,
actiondesc_empty_omicron-,"Casts every other-type spell which is not [ OMICRON+ ] or [ OMICRON- ] by reverse order from graveyard, deck and then hand with no draw\nignore their impact on mana, fire rate wait and reload time\nafter that, send spells equal to number cast from front of hand to graveyard as much as possible",,,,,,,,"按墓地、卡组、手卡的顺序依次倒序禁抽地释放每个不为 [ 奥密克戎+ ] 或 [ 奥密克戎- ] 的其他法术\n无视它们对法力、施法延迟、充能时间的影响\n那之后, 尽可能从手卡前面把释放数量的法术送去墓地",,,,,,,,,,,,,,,,
action_empty_divide_2+,"Divide by 2+",,,,,,,,"一分为二+",,,,,,,,,,,,,,,,
actiondesc_empty_divide_2+,"Initial iteration: 1; Iteration limit: 5\nremember <iteration count>th spell from front of deck\ncast remembered spell 2 times with no draw, but reduce its damage\niteration count of spells cast this way +1\nif this spell's iteration count exceeds its iteration limit: change to 'Divide by 1'\nif this is last 'divide by (+/-)': return <iteration count> as <recursive count>\nif this is iteration 1: send <recursive count> spells from front of deck to graveyard, after that, draw 1\nspecifically, if spell cast is 'Colorful' series: recursion level treat as nil",,,,,,,,"初始迭代: 1; 迭代极限: 5\n记住卡组前面第 <迭代数> 个法术\n禁抽地释放记住的法术 2 次，但降低其伤害\n这个方法释放的法术 <迭代数> +1\n如果此法术的迭代数超出其迭代极限: 变为 '一分为一+'\n如果这是最后1个 '一分(+/-)' : 将 <迭代数> 作为 <递归数> 回传\n如果这是迭代1: 从卡组前面把 <递归数> 个法术送去墓地, 那之后, 抽 1\n特别地, 释放 '幻彩' 系列法术时: 递归等级 当作 nil 处理",,,,,,,,,,,,,,,,
action_empty_divide_3+,"Divide by 3+",,,,,,,,"一分为三+",,,,,,,,,,,,,,,,
actiondesc_empty_divide_3+,"Initial iteration: 1; Iteration limit: 4\nremember <iteration count>th spell from front of deck\ncast remembered spell 3 times with no draw, but reduce its damage\niteration count of spells cast this way +1\nif this spell's iteration count exceeds its iteration limit: change to 'Divide by 1'\nif this is last 'divide by (+/-)': return <iteration count> as <recursive count>\nif this is iteration 1: send <recursive count> spells from front of deck to graveyard, after that, draw 1\nspecifically, if spell cast is 'Colorful' series: recursion level treat as nil",,,,,,,,"初始迭代: 1; 迭代极限: 4\n记住卡组前面第 <迭代数> 个法术\n禁抽地释放记住的法术 3 次，但降低其伤害\n这个方法释放的法术 <迭代数> +1\n如果此法术的迭代数超出其迭代极限: 变为 '一分为一+'\n如果这是最后1个 '一分(+/-)' : 将 <迭代数> 作为 <递归数> 回传\n如果这是迭代1: 从卡组前面把 <递归数> 个法术送去墓地, 那之后, 抽 1\n特别地, 释放 '幻彩' 系列法术时: 递归等级 当作 nil 处理",,,,,,,,,,,,,,,,
action_empty_divide_4+,"Divide by 4+",,,,,,,,"一分为四+",,,,,,,,,,,,,,,,
actiondesc_empty_divide_4+,"Initial iteration: 1; Iteration limit: 3\nremember <iteration count>th spell from front of deck\ncast remembered spell 4 times with no draw, but reduce its damage\niteration count of spells cast this way +1\nif this spell's iteration count exceeds its iteration limit: change to 'Divide by 1'\nif this is last 'divide by (+/-)': return <iteration count> as <recursive count>\nif this is iteration 1: send <recursive count> spells from front of deck to graveyard, after that, draw 1\nspecifically, if spell cast is 'Colorful' series: recursion level treat as nil",,,,,,,,"初始迭代: 1; 迭代极限: 3\n记住卡组前面第 <迭代数> 个法术\n禁抽地释放记住的法术 4 次，但降低其伤害\n这个方法释放的法术 <迭代数> +1\n如果此法术的迭代数超出其迭代极限: 变为 '一分为一+'\n如果这是最后1个 '一分(+/-)' : 将 <迭代数> 作为 <递归数> 回传\n如果这是迭代1: 从卡组前面把 <递归数> 个法术送去墓地, 那之后, 抽 1\n特别地, 释放 '幻彩' 系列法术时: 递归等级 当作 nil 处理",,,,,,,,,,,,,,,,
action_empty_divide_10+,"Divide by 10+",,,,,,,,"一分为十+",,,,,,,,,,,,,,,,
actiondesc_empty_divide_10+,"Initial iteration: 1; Iteration limit: 2\nremember <iteration count>th spell from front of deck\ncast remembered spell 10 times with no draw, but reduce its damage\niteration count of spells cast this way +1\nif this spell's iteration count exceeds its iteration limit: change to 'Divide by 1'\nif this is last 'divide by (+/-)': return <iteration count> as <recursive count>\nif this is iteration 1: send <recursive count> spells from front of deck to graveyard, after that, draw 1\nspecifically, if spell cast is 'Colorful' series: recursion level treat as nil",,,,,,,,"初始迭代: 1; 迭代极限: 2\n记住卡组前面第 <迭代数> 个法术\n禁抽地释放记住的法术 10 次，但降低其伤害\n这个方法释放的法术 <迭代数> +1\n如果此法术的迭代数超出其迭代极限: 变为 '一分为一+'\n如果这是最后1个 '一分(+/-)' : 将 <迭代数> 作为 <递归数> 回传\n如果这是迭代1: 从卡组前面把 <递归数> 个法术送去墓地, 那之后, 抽 1\n特别地, 释放 '幻彩' 系列法术时: 递归等级 当作 nil 处理",,,,,,,,,,,,,,,,
action_empty_divide_2-,"Divide by 2-",,,,,,,,"一分为二-",,,,,,,,,,,,,,,,
actiondesc_empty_divide_2-,"Initial iteration: 1; Iteration limit: 7\ncast <iteration count>th spell from front of deck 2 times with no draw, but reduce its damage\niteration count of spells cast this way +1\nif this spell's iteration count exceeds its iteration limit: change to 'Divide by 1'\nif this is last 'divide by (+/-)': return <iteration count> as <recursive count>\nif this is iteration 1: send <recursive count> spells from front of deck to graveyard\nspecifically, if spell cast is 'Colorful' series: recursion level treat as recursion cap",,,,,,,,"初始迭代: 1; 迭代极限: 7\n释放卡组前面第 <迭代数> 个法术 2 次，但降低其伤害\n这个方法释放的法术迭代数 +1\n如果此法术的迭代数超出其迭代极限: 变为 '一分为一-'\n如果这是最后1个 '一分(+/-)' : 将 <迭代数> 作为 <递归数> 回传\n如果这是迭代1: 从卡组前面把 <递归数> 个法术送去墓地\n特别地, 释放 '幻彩' 系列法术时: 递归等级 当作 递归上限 处理",,,,,,,,,,,,,,,,
action_empty_divide_3-,"Divide by 3-",,,,,,,,"一分为三-",,,,,,,,,,,,,,,,
actiondesc_empty_divide_3-,"Initial iteration: 1; Iteration limit: 5\ncast <iteration count>th spell from front of deck 3 times with no draw, but reduce its damage\niteration count of spells cast this way +1\nif this spell's iteration count exceeds its iteration limit: change to 'Divide by 1'\nif this is last 'divide by (+/-)': return <iteration count> as <recursive count>\nif this is iteration 1: send <recursive count> spells from front of deck to graveyard\nspecifically, if spell cast is 'Colorful' series: recursion level treat as recursion cap",,,,,,,,"初始迭代: 1; 迭代极限: 5\n释放卡组前面第 <迭代数> 个法术 3 次，但降低其伤害\n这个方法释放的法术迭代数 +1\n如果此法术的迭代数超出其迭代极限: 变为 '一分为一-'\n如果这是最后1个 '一分(+/-)' : 将 <迭代数> 作为 <递归数> 回传\n如果这是迭代1: 从卡组前面把 <递归数> 个法术送去墓地\n特别地, 释放 '幻彩' 系列法术时: 递归等级 当作 递归上限 处理",,,,,,,,,,,,,,,,
action_empty_divide_4-,"Divide by 4-",,,,,,,,"一分为四-",,,,,,,,,,,,,,,,
actiondesc_empty_divide_4-,"Initial iteration: 1; Iteration limit: 4\ncast <iteration count>th spell from front of deck 4 times with no draw, but reduce its damage\niteration count of spells cast this way +1\nif this spell's iteration count exceeds its iteration limit: change to 'Divide by 1'\nif this is last 'divide by (+/-)': return <iteration count> as <recursive count>\nif this is iteration 1: send <recursive count> spells from front of deck to graveyard\nspecifically, if spell cast is 'Colorful' series: recursion level treat as recursion cap",,,,,,,,"初始迭代: 1; 迭代极限: 4\n释放卡组前面第 <迭代数> 个法术 4 次，但降低其伤害\n这个方法释放的法术迭代数 +1\n如果此法术的迭代数超出其迭代极限: 变为 '一分为一-'\n如果这是最后1个 '一分(+/-)' : 将 <迭代数> 作为 <递归数> 回传\n如果这是迭代1: 从卡组前面把 <递归数> 个法术送去墓地\n特别地, 释放 '幻彩' 系列法术时: 递归等级 当作 递归上限 处理",,,,,,,,,,,,,,,,
action_empty_divide_10-,"Divide by 10-",,,,,,,,"一分为十-",,,,,,,,,,,,,,,,
actiondesc_empty_divide_10-,"Initial iteration: 1; Iteration limit: 3\ncast <iteration count>th spell from front of deck 10 times with no draw, but reduce its damage\niteration count of spells cast this way +1\nif this spell's iteration count exceeds its iteration limit: change to 'Divide by 1'\nif this is last 'divide by (+/-)': return <iteration count> as <recursive count>\nif this is iteration 1: send <recursive count> spells from front of deck to graveyard\nspecifically, if spell cast is 'Colorful' series: recursion level treat as recursion cap",,,,,,,,"初始迭代: 1; 迭代极限: 3\n释放卡组前面第 <迭代数> 个法术 10 次，但降低其伤害\n这个方法释放的法术迭代数 +1\n如果此法术的迭代数超出其迭代极限: 变为 '一分为一-'\n如果这是最后1个 '一分(+/-)' : 将 <迭代数> 作为 <递归数> 回传\n如果这是迭代1: 从卡组前面把 <递归数> 个法术送去墓地\n特别地, 释放 '幻彩' 系列法术时: 递归等级 当作 递归上限 处理",,,,,,,,,,,,,,,,
action_empty_command_number_hex,< NUMBER > 0×,,,,,,,,< 数值 > 0×,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_hex,"You call it......NUMBER?\nwhen cast directly: fire rate wait and reload time -16 frames",,,,,,,,"你管这个叫......数值?\n直接释放时: 施法延迟与充能时间 -16 帧",,,,,,,,,,,,,,,,
action_empty_command_number_0,< NUMBER > 0,,,,,,,,< 数值 > 0,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_0,"Just a 0, what do you think it can do?\nwhen cast directly: swap fire rate wait and reload time",,,,,,,,"只是个 0, 你觉得它能做什么呢?\n直接释放时: 交换施法延迟与充能时间",,,,,,,,,,,,,,,,
action_empty_command_number_1,< NUMBER > 1,,,,,,,,< 数值 > 1,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_1,"Just a 1, what do you think it can do?\nwhen cast directly: fire rate wait and reload time -1 frame",,,,,,,,"只是个 1, 你觉得它能做什么呢?\n直接释放时: 施法延迟与充能时间 -1 帧",,,,,,,,,,,,,,,,
action_empty_command_number_2,< NUMBER > 2,,,,,,,,< 数值 > 2,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_2,"Just a 2, what do you think it can do?\nwhen cast directly: fire rate wait and reload time -2 frames",,,,,,,,"只是个 2, 你觉得它能做什么呢?\n直接释放时: 施法延迟与充能时间 -2 帧",,,,,,,,,,,,,,,,
action_empty_command_number_3,< NUMBER > 3,,,,,,,,< 数值 > 3,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_3,"Just a 3, what do you think it can do?\nwhen cast directly: fire rate wait and reload time -3 frames",,,,,,,,"只是个 3, 你觉得它能做什么呢?\n直接释放时: 施法延迟与充能时间 -3 帧",,,,,,,,,,,,,,,,
action_empty_command_number_4,< NUMBER > 4,,,,,,,,< 数值 > 4,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_4,"Mista! come and have a look what's this?\nwhen cast directly: fire rate wait and reload time -4 frames",,,,,,,,"米 4 达! 来看看这是几?\n直接释放时: 施法延迟与充能时间 -4 帧",,,,,,,,,,,,,,,,
action_empty_command_number_5,< NUMBER > 5,,,,,,,,< 数值 > 5,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_5,"Just a 5, what do you think it can do?\nwhen cast directly: fire rate wait and reload time -5 frames",,,,,,,,"只是个 5, 你觉得它能做什么呢?\n直接释放时: 施法延迟与充能时间 -5 帧",,,,,,,,,,,,,,,,
action_empty_command_number_6,< NUMBER > 6,,,,,,,,< 数值 > 6,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_6,"Just a 6, what do you think it can do?\nwhen cast directly: fire rate wait and reload time -6 frames",,,,,,,,"只是个 6, 你觉得它能做什么呢?\n直接释放时: 施法延迟与充能时间 -6 帧",,,,,,,,,,,,,,,,
action_empty_command_number_7,< NUMBER > 7,,,,,,,,< 数值 > 7,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_7,"Just a 7, what do you think it can do?\nwhen cast directly: fire rate wait and reload time -7 frames",,,,,,,,"只是个 7, 你觉得它能做什么呢?\n直接释放时: 施法延迟与充能时间 -7 帧",,,,,,,,,,,,,,,,
action_empty_command_number_8,< NUMBER > 8,,,,,,,,< 数值 > 8,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_8,"Just a 8, what do you think it can do?\nwhen cast directly: fire rate wait and reload time -8 frames",,,,,,,,"只是个 8, 你觉得它能做什么呢?\n直接释放时: 施法延迟与充能时间 -8 帧",,,,,,,,,,,,,,,,
action_empty_command_number_9,< NUMBER > 9,,,,,,,,< 数值 > 9,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_9,"Just a 9, what do you think it can do?\nwhen cast directly: fire rate wait and reload time -9 frames",,,,,,,,"只是个 9, 你觉得它能做什么呢?\n直接释放时: 施法延迟与充能时间 -9 帧",,,,,,,,,,,,,,,,
action_empty_command_number_a,< NUMBER > a,,,,,,,,< 数值 > a,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_a,"Is this a NUMBER?\nwhen cast directly: fire rate wait and reload time -10 frames",,,,,,,,"这是个数值?\n直接释放时: 施法延迟与充能时间 -10 帧",,,,,,,,,,,,,,,,
action_empty_command_number_b,< NUMBER > b,,,,,,,,< 数值 > b,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_b,"Is this a NUMBER?\nwhen cast directly: fire rate wait and reload time -11 frames",,,,,,,,"这是个数值?\n直接释放时: 施法延迟与充能时间 -11 帧",,,,,,,,,,,,,,,,
action_empty_command_number_c,< NUMBER > c,,,,,,,,< 数值 > c,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_c,"Is this a NUMBER?\nwhen cast directly: fire rate wait and reload time -12 frames",,,,,,,,"这是个数值?\n直接释放时: 施法延迟与充能时间 -12 帧",,,,,,,,,,,,,,,,
action_empty_command_number_d,< NUMBER > d,,,,,,,,< 数值 > d,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_d,"Is this a NUMBER?\nwhen cast directly: fire rate wait and reload time -13 frames",,,,,,,,"这是个数值?\n直接释放时: 施法延迟与充能时间 -13 帧",,,,,,,,,,,,,,,,
action_empty_command_number_e,< NUMBER > e,,,,,,,,< 数值 > e,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_e,"Is this a NUMBER?\nwhen cast directly: fire rate wait and reload time -14 frames",,,,,,,,"这是个数值?\n直接释放时: 施法延迟与充能时间 -14 帧",,,,,,,,,,,,,,,,
action_empty_command_number_f,< NUMBER > f,,,,,,,,< 数值 > f,,,,,,,,,,,,,,,,
actiondesc_empty_command_number_f,"Is this a NUMBER?\nwhen cast directly: fire rate wait and reload time -15 frames",,,,,,,,"这是个数值?\n直接释放时: 施法延迟与充能时间 -15 帧",,,,,,,,,,,,,,,,
action_empty_command_selector_@self,< SELECTOR > @self,,,,,,,,< 目标选择器 > @self,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@self,"Return shooter as <NUMBER>\nwhen cast directly: add 5 mana to this wand",,,,,,,,"将施法者作为 <数值> 返回\n直接释放时: 向法杖注入 5 法力",,,,,,,,,,,,,,,,
action_empty_command_selector_@closest,< SELECTOR > @closest,,,,,,,,< 目标选择器 > @closest,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@closest,"Return closest entity as <NUMBER>\nwhen cast directly: add 10 mana to this wand",,,,,,,,"将最近的实体作为 <数值> 返回\n直接释放时: 向法杖注入 10 法力",,,,,,,,,,,,,,,,
action_empty_command_selector_@random,< SELECTOR > @random,,,,,,,,< 目标选择器 > @random,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@random,"Return a random entity as <NUMBER>\nwhen cast directly: add 30 mana to this wand",,,,,,,,"将随机 1 个实体作为 <数值> 返回\n直接释放时: 向法杖注入 30 法力",,,,,,,,,,,,,,,,
action_empty_command_selector_@players,< SELECTOR > @players,,,,,,,,< 目标选择器 > @players,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@players,"Return all players as <NUMBER[ ]>\nwhen cast directly: add 10 mana to this wand",,,,,,,,"将所有玩家作为 <数值[ ]> 返回\n直接释放时: 向法杖注入 10 法力",,,,,,,,,,,,,,,,
action_empty_command_selector_@enemies,< SELECTOR > @enemies,,,,,,,,< 目标选择器 > @enemies,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@enemies,"Return all enemies as <NUMBER[ ]>\nwhen cast directly: add 10 mana to this wand",,,,,,,,"将所有敌怪作为 <数值[ ]> 返回\n直接释放时: 向法杖注入 10 法力",,,,,,,,,,,,,,,,
